OFS,Communes,Arrondissements
5621,Aclens,Morges
5742,Agiez,Yverdon
5401,Aigle,Aigle
5851,Allaman,Morges
5701,Arnex-sur-Nyon,Nyon
5743,Arnex-sur-Orbe,Yverdon
5702,Arzier,Nyon
5511,Assens,Gros-de-Vaud
5422,Aubonne,Morges
5451,Avenches,Broye-Vully
5744,Ballaigues,Yverdon
5423,Ballens,Morges
5703,Bassins,Nyon
5745,Baulmes,Yverdon
5746,Bavois,Yverdon
5704,Begnins,Nyon
5581,Belmont-sur-Lausanne,Lavaux-Oron
5902,Belmont-sur-Yverdon,Yverdon
5512,Bercher,Gros-de-Vaud
5424,Berolle,Morges
5471,Bettens,Gros-de-Vaud
5402,Bex,Aigle
5425,Bière,Morges
5903,Bioley-Magnoux,Yverdon
5892,Blonay - Saint-Légier,Vevey
5747,Bofflens,Yverdon
5705,Bogis-Bossey,Nyon
5551,Bonvillars,Yverdon
5706,Borex,Nyon
5514,Bottens,Gros-de-Vaud
5426,Bougy-Villars,Morges
5661,Boulens,Gros-de-Vaud
5613,Bourg-en-Lavaux,Lavaux-Oron
5472,Bournens,Gros-de-Vaud
5473,Boussens,Gros-de-Vaud
5622,Bremblens,Morges
5515,Bretigny-sur-Morrens,Gros-de-Vaud
5748,Bretonnières,Yverdon
5623,Buchillon,Morges
5552,Bullet,Yverdon
5852,Bursinel,Nyon
5853,Bursins,Nyon
5854,Burtigny,Nyon
5624,Bussigny,Ouest lausannois
5663,Bussy-sur-Moudon,Broye-Vully
5904,Chamblon,Yverdon
5553,Champagne,Yverdon
5812,Champtauroz,Broye-Vully
5905,Champvent,Yverdon
5882,Chardonne,Vevey
5841,Château-d'Oex,Pays d’en Haut
5707,Chavannes-de-Bogis,Nyon
5708,Chavannes-des-Bois,Nyon
5907,Chavannes-le-Chêne,Yverdon
5475,Chavannes-le-Veyron,Morges
5627,Chavannes-près-Renens,Ouest lausannois
5665,Chavannes-sur-Moudon,Broye-Vully
5749,Chavornay (nouvelle commune),Yverdon
5908,Chêne-Pâquier,Yverdon
5909,Cheseaux-Noréaz,Yverdon
5582,Cheseaux-sur-Lausanne,Romanel
5709,Chéserex,Nyon
5403,Chessel,Aigle
5476,Chevilly,Morges
5813,Chevroux,Broye-Vully
5601,Chexbres,Lavaux-Oron
5628,Chigny,Morges
5629,Clarmont,Morges
5710,Coinsins,Nyon
5711,Commugny,Nyon
5554,Concise,Yverdon
5712,Coppet,Nyon
5404,Corbeyrier,Aigle
5785,Corcelles-le-Jorat,Broye-Vully
5555,Corcelles-près-Concise,Yverdon
5816,Corcelles-près-Payerne,Broye-Vully
5883,Corseaux,Vevey
5884,Corsier-sur-Vevey,Vevey
5477,Cossonay,Morges
5713,Crans-près-Céligny,Nyon
5714,Crassier,Nyon
5583,Crissier,Ouest lausannois
5910,Cronay,Yverdon
5752,Croy,Yverdon
5479,Cuarnens,Morges
5911,Cuarny,Yverdon
5456,Cudrefin,Broye-Vully
5516,Cugy,Gros-de-Vaud
5669,Curtilles,Broye-Vully
5480,Daillens,Gros-de-Vaud
5912,Démoret,Yverdon
5631,Denens,Morges
5632,Denges,Morges
5481,Dizy,Morges
5671,Dompierre,Broye-Vully
5913,Donneloye,Yverdon
5715,Duillier,Nyon
5855,Dully,Nyon
5518,Echallens,Gros-de-Vaud
5633,Echandens,Morges
5634,Echichens,Morges
5482,Eclépens,Morges
5635,Ecublens,Ouest lausannois
5584,Epalinges,Romanel
5914,Ependes,Yverdon
5856,Essertines-sur-Rolle,Nyon
5520,Essertines-sur-Yverdon,Gros-de-Vaud
5521,Etagnières,Gros-de-Vaud
5636,Etoy,Morges
5716,Eysins,Nyon
5458,Faoug,Broye-Vully
5427,Féchy,Morges
5483,Ferreyres,Morges
5522,Fey,Gros-de-Vaud
5556,Fiez,Yverdon
5557,Fontaines-sur-Grandson,Yverdon
5604,Forel (Lavaux),Lavaux-Oron
5717,Founex,Nyon
5523,Froideville,Gros-de-Vaud
5718,Genolier,Nyon
5559,Giez,Yverdon
5857,Gilly,Nyon
5428,Gimel,Morges
5719,Gingins,Nyon
5720,Givrins,Nyon
5721,Gland,Nyon
5484,Gollion,Morges
5541,Goumoëns,Gros-de-Vaud
5485,Grancy,Morges
5817,Grandcour,Broye-Vully
5560,Grandevent,Yverdon
5561,Grandson,Yverdon
5722,Grens,Nyon
5405,Gryon,Aigle
5656,Hautemorges,Morges
5819,Henniez,Broye-Vully
5673,Hermenches,Broye-Vully
5885,Jongny,Vevey
5804,Jorat-Menthue,Gros-de-Vaud
5806,Jorat-Mézières,Lavaux-Oron
5585,Jouxtens-Mézery,Romanel
5754,Juriens,Yverdon
5474,La Chaux (Cossonay),Morges
5758,La Praz,Yverdon
5726,La Rippe,Nyon
5498,La Sarraz,Morges
5889,La Tour-de-Peilz,Vevey
5871,L'Abbaye,La Vallée
5741,L'Abergement,Yverdon
5586,Lausanne,Lausanne-Ville
5406,Lavey-Morcles,Aigle
5637,Lavigny,Morges
5872,Le Chenit,La Vallée
5873,Le Lieu,La Vallée
5587,Le Mont-sur-Lausanne,Romanel
5731,Le Vaud,Nyon
5750,Les Clées,Yverdon
5407,Leysin,Aigle
5755,Lignerolle,Yverdon
5486,L'Isle,Morges
5638,Lonay,Morges
5429,Longirod,Nyon
5674,Lovatens,Broye-Vully
5675,Lucens (nouvelle commune),Broye-Vully
5858,Luins,Nyon
5639,Lully,Morges
5487,Lussery-Villars,Gros-de-Vaud
5640,Lussy-sur-Morges,Morges
5606,Lutry,Lavaux-Oron
5790,Maracon,Lavaux-Oron
5430,Marchissy,Nyon
5919,Mathod,Yverdon
5562,Mauborget,Yverdon
5488,Mauraz,Morges
5489,Mex,Gros-de-Vaud
5723,Mies,Nyon
5821,Missy,Broye-Vully
5490,Moiry,Morges
5431,Mollens,Morges
5921,Molondin,Yverdon
5922,Montagny-près-Yverdon,Yverdon
5693,Montanaire,Gros-de-Vaud
5756,Montcherand,Yverdon
5540,Montilliez,Gros-de-Vaud
5491,Mont-la-Ville,Morges
5792,Montpreveyres,Lavaux-Oron
5886,Montreux,Vevey
5492,Montricher,Morges
5859,Mont-sur-Rolle,Nyon
5642,Morges,Morges
5527,Morrens,Gros-de-Vaud
5678,Moudon,Broye-Vully
5563,Mutrux,Yverdon
5564,Novalles,Yverdon
5408,Noville,Aigle
5724,Nyon,Nyon
5680,Ogens,Gros-de-Vaud
5409,Ollon,Aigle
5565,Onnens,Yverdon
5923,Oppens,Gros-de-Vaud
5757,Orbe,Yverdon
5924,Orges,Yverdon
5410,Ormont-Dessous,Aigle
5411,Ormont-Dessus,Aigle
5493,Orny,Morges
5805,Oron,Lavaux-Oron
5925,Orzens,Yverdon
5529,Oulens-sous-Echallens,Gros-de-Vaud
5530,Pailly,Gros-de-Vaud
5588,Paudex,Lavaux-Oron
5822,Payerne,Broye-Vully
5495,Penthalaz,Gros-de-Vaud
5496,Penthaz,Gros-de-Vaud
5531,Penthéréaz,Gros-de-Vaud
5860,Perroy,Nyon
5533,Poliez-Pittet,Gros-de-Vaud
5497,Pompaples,Morges
5926,Pomy,Yverdon
5725,Prangins,Nyon
5759,Premier,Yverdon
5643,Préverenges,Morges
5683,Prévonloup,Broye-Vully
5589,Prilly,Ouest lausannois
5566,Provence,Yverdon
5607,Puidoux,Lavaux-Oron
5590,Pully,Lavaux-Oron
5760,Rances,Yverdon
5591,Renens,Ouest lausannois
5412,Rennaz,Aigle
5609,Rivaz,Lavaux-Oron
5413,Roche,Aigle
5861,Rolle,Nyon
5761,Romainmôtier-Envy,Yverdon
5592,Romanel-sur-Lausanne,Romanel
5645,Romanel-sur-Morges,Morges
5798,Ropraz,Broye-Vully
5684,Rossenges,Broye-Vully
5842,Rossinière,Pays d’en Haut
5843,Rougemont,Pays d’en Haut
5928,Rovray,Yverdon
5534,Rueyres,Gros-de-Vaud
5535,Saint-Barthélemy,Gros-de-Vaud
5727,Saint-Cergue,Nyon
5568,Sainte-Croix,Yverdon
5434,Saint-George,Nyon
5435,Saint-Livres,Morges
5436,Saint-Oyens,Morges
5646,Saint-Prex,Morges
5610,Saint-Saphorin (Lavaux),Lavaux-Oron
5648,Saint-Sulpice,Ouest lausannois
5437,Saubraz,Morges
5611,Savigny,Lavaux-Oron
5499,Senarclens,Morges
5762,Sergey,Yverdon
5799,Servion,Lavaux-Oron
5728,Signy-Avenex,Nyon
5929,Suchy,Yverdon
5501,Sullens,Gros-de-Vaud
5930,Suscévaz,Yverdon
5688,Syens,Broye-Vully
5729,Tannay,Nyon
5862,Tartegnin,Nyon
5571,Tévenon,Yverdon
5649,Tolochenaz,Morges
5730,Trélex,Nyon
5827,Trey,Broye-Vully
5931,Treycovagnes,Yverdon
5828,Treytorrens (Payerne),Broye-Vully
5932,Ursins,Yverdon
5831,Valbroye,Broye-Vully
5933,Valeyres-sous-Montagny,Yverdon
5763,Valeyres-sous-Rances,Yverdon
5934,Valeyres-sous-Ursins,Yverdon
5764,Vallorbe,Yverdon
5765,Vaulion,Yverdon
5650,Vaux-sur-Morges,Morges
5890,Vevey,Vevey
5891,Veytaux,Vevey
5732,Vich,Nyon
5935,Villars-Epeney,Yverdon
5690,Villars-le-Comte,Broye-Vully
5537,Villars-le-Terroir,Gros-de-Vaud
5651,Villars-Sainte-Croix,Ouest lausannois
5652,Villars-sous-Yens,Morges
5830,Villarzel,Broye-Vully
5414,Villeneuve,Aigle
5863,Vinzel,Nyon
5539,Vuarrens,Gros-de-Vaud
5692,Vucherens,Broye-Vully
5503,Vufflens-la-Ville,Gros-de-Vaud
5653,Vufflens-le-Château,Morges
5937,Vugelles-La Mothe,Yverdon
5766,Vuiteboeuf,Yverdon
5803,Vulliens,Broye-Vully
5654,Vullierens,Morges
5464,Vully-les-lacs,Broye-Vully
5655,Yens,Morges
5938,Yverdon-les-Bains,Yverdon
5939,Yvonand,Yverdon
5415,Yvorne,Aigle
