Bilan-Parti-Libres, gagnés, perdus, bilan
PS, 1088, -514, 574
VERT-E-S, 830, -343, 487
UDC, 619, -190, 429
PLR, 866, -499, 367
Centre, 601, -364, 237
PVL, 538, -301, 237
PEV, 126, -35, 91
Pirates, 115, -62, 53
UDF, 60, -12, 48
PST/Sol., 129, -93, 36
Total, 4972, -2413, 2559
